grammatical	ungrammatical
a c a c c a c a a c a c c a c a c c a c a a a a a c a c a c a c	a c a c c a c a a c a c c a c a c c a c a a d a a c a c a c a c
a c c c a a a a a c a c c c a c a a a c a c a c a c a a c a a c	a c c c a a a a a c a c c c a c a a a c a c a c a c a b c a a c
a d a a a c a a c c a c a a a a a a c a a c a a a c c a a c c c	a d a a a c a a c c a c a a a a a a c a a c a b a a c c a a c c c
a d a c c c a c a c a a a c c c c c a c a a a c c a a c c c c c	a d a c c c a c a c a a a c c c c c d c a a a c c a a c c c c c
a d c c a c c c c c a a c c c a c a c c a a a c c c c c a a c a	a d c c b a c c c c c a a c c c a c a c c a a a c c c c c a a c a
c a a a c c a a c a c c a a c c a c c c c a c c c a a c a c a a	c a d a a c c a a c a c c a a c c a c c c c a c c c a a c a c a a
c a a c a c a a c c a c a c a c a a c a a a c c a c c a a c a c	c a a c a c a a c c a c a c a c a a c a a a c c a c c a d a c a c
c a c a c c a a a c a c c a a c c a c a c a c c a a c c c c a c	c a c a c c a a a c a c c a a c c a c a b c a c c a a c c c c a c
c c a a a a a a a c c c a a a c a a a c c c c a c c a a c a a c	c c a a a a a a a c c c a a a c a a a c c c c a c c a a c a a d c
c c a c a a c c a a c a a c c a c c a a c a a c a c a a a a a a	c c a c a a c c a a c a a c c b a c c a a c a a c a c a a a a a a
c c c a c a c a a c c a a c c a a a a a c c c a a c c a c c c c	c c c a c a c a a c c a a c c a a a a a c c c a a c b c a c c c c
d c a a a a c a c c c c c c c a a a c a c c a c a c c c a a c a	b c a a a a c a c c c c c c c a a a c a c c a c a c c c a a c a
d a a c a a a c a c a a a c c c c a a c a c c a a a c a c c a a	d a a c a a a c a c a a a c d c c c a a c a c c a a a c a c c a a
d a c a c a c a c c c a a a a a a a a c a c a c a a c c a a c c	d a c a c a c a c c c a a a a a a a a c a c a c a a c d c a a c c
d a c c c a a c c a a c c a c a c a a c c a a c c c a a a a a c	d a c d c a a c c a a c c a c a c a a c c a a c c c a a a a a c
d c a c a a c a a c a a c a a a c c c a a a c a a a a a a a c c	d c a c a a c a a c a a c a a a c b c c a a a c a a a a a a a c c
d c c a c a a c a a a a a a a c a a c c c c a c c a a c c a a c	d c c a c a a c a a a a a d a a c a a c c c c a c c a a c c a a c
a a a a a a d c a a c c a a a c a c a a c c a a c c a a c c a c a	b a a a a a a d c a a c c a a a c a c a a c c a a c c a a c c a c a
a a a a a c a a c a c a c c c c a a c a c c c a a a a c c c a a c	a a a a a c a a c a c a c c c c a a c a c c c a a a a c c c d a c
a a a a d c c c a c a a c a a c c c c a c c a a c c a a c a c a a	a a a a d c c c a c a a c a a c c c c a c c a a c d a a c a c a a
a a a d a a c a c a a a c a a a a c c c c c c a a a c c a c a c a	a a a d a a c a c a a a c a a a a c c c c c c a a a c b c a c a c a
a a c a a c c a c a a c a c a c c c a c c a c a a a a c c a c a c	a a c a a c c a c a a c a c a c c c a c d a c a a a a c c a c a c
a a c c c c a c a a a c c a a c a c c a a c c c a c a c a c c a a	a a c c c c a c a a a c c a a c a c c a a c c c a d c a c a c c a a
a a d c a c a a a c a a a c a c c c c c a a a c a c c c a c c c c	a a d c a c a a a c a a a c a c c c c c a a a c a c c c a c c c c d
a c a a a c c a c c c c a c c a c c c c a c c a c c a c c c a c c	a c a a a c c a c c c c a c c a c c c c a c c d c c a c c c a c c
a c a c c c c a a c a a c c a a a a a c c a c c c a c c a c c c a	a c a c c c c a a c a a c c a a a a a c b a c c c a c c a c c c a
a c c c a a a c c c a c c c a a c a c a c a a a a a a c c c c a c	a c c c a a a c c c a c c c a a c a c a c a a a b a a a c c c c a c
a d a a a c c a a a a a a a a c c a c a c c a c a a c a c a c a a	a d a a a c c a a a a a a a a c b c a c a c c a c a a c a c a c a a
a d a c c c c a c a c c a a a c a a c c c c a a a a c a a a a c a	a d a c c c c a d a c c a a a c a a c c c c a a a a c a a a a c a
a d c c a a c a a c c a c a a c a a c a a c c c c a a c c c c a a	a d c c a a c b a a c c a c a a c a a c a a c c c c a a c c c c a a
c a a a a a c a c a c c c c a c a a a c c a c c a c a c c c a a a	c b a a a a a c a c a c c c c a c a a a c c a c c a c a c c c a a a
c a a c a a c c c a a a a a c a c a c a a c c c a a a a c c c c a	c a a c a a c c c a a a a a c a d a c a a c c c a a a a c c c c a
c a c a c a a c c c a c c c a a c c a a c c c a a a c c c a c c c	c a c a c a a c c c a c c c a a c c a b c c c a a a c c c a c c c
c c a a a a c a c a a c a a c c c a c c a c a a c c a c a a c a a	c c a a a a c a c a a c a a c c c a c c a c a a c c a c a b c a a
c c a c a c c a c a a c c c a a a c c c a c c a c a c a a c c c a	c c a c a c c a c a a c c c a a a c c c a c b c a c a c a a c c c a
c c c a c c a a c c a a a a a c a a c a a a c c a c c c a a a a c	c c c a c c a a c c a a a a a d c a a c a a a c c a c c c a a a a c
d a c a c c c c a c c a c a a a c c c c a a c c a c c a c c c c c	d a d c a c c c c a c c a c a a a c c c c a a c c a c c a c c c c c
d a a c a a a c a c c c a c c a a a c a a c a c c a a c a a c c a	d a a c a a a c a c c c a c c b a a c a a c a c c a a c a a c c a
d a c a c a a a a c c a a a c c c c a c a a c a c c c c c a a a c	d a c a c a a a a c c a a a c c c c a c a a c a c c c c c d a a c
d c a a a a a a a c c a a c a c a c c c c c c c c c c a c c a c a	d c d a a a a a a a c c a a c a c a c c c c c c c c c c a c c a c a
d c a c a c c c a a c a a a a c c c a a c c a a c a a c c c a c a	d c a c a d c c c a a c a a a a c c c a a c c a a c a a c c c a c a
d c c a a c a c a c c c c c c c c c c a c a a a c c a a a c a c a	d c c a a c a c a c c c c c c c c c c a c a a a c c a a a c b a c a
a a a a a a c a a a a c c a c c c a a c c a a c a c a c a c c c c c	b a a a a a a c a a a a c c a c c c a a c c a a c a c a c a c c c c c
a a a a a c c a c c a c a a a c c a a a a a c c a a c c a c a a c c	a a a a a c c a c c b c a a a c c a a a a a c c a a c c a c a a c c
a a a c a a a c a a a a c c a c a c a a c a a c c a a c c a c c a c	a a a c a a a c a a a a c c a c a c a a c a a c c b a c c a c c a c
a a a d a c c a c a a a a a a c c a a c c c a a c c c a a c c a a a	a a a d a c c a c a d a a a a a c c a a c c c a a c c c a a c c a a a
a a c a c c a c c a c c a c a c c c c c c a c c a a a a a a a a a a	a a c a c c a c c a b c a c a c c c c c c a c c a a a a a a a a a a
a a d a a a c c a c c c a c c c a a a c a a c c c c c c c c c c c c	a a d a a a c c a c c c a c c c a a a c a a c c c c c c c c c c b c
a a d c c a c a a a a a a a a a a a c a c c c a c c c c c c c a a a	a a d c c a c a a a a a a a a a a a b a c c c a c c c c c c c a a a
a c a a c a c c c c c c c a c a a a a c c c a a a a a a c c c a a a	a c a a c a c c c c c c c a c a a a a c c c a a a a a d a c c c a a a
a c c a a a a c a a a a c c a c a c a c a c c c a a a c a a c c a a	a c c a a a a c a a a a c c a d c a c a c a c c c a a a c a a c c a a
a c c c a c c c c a c c c a c a a c a a c c c c c a a c c a a c c c	a c c c a c c c c a c c c a c a a c a a c c c d c a a c c a a c c c
a d a a c c a a a a a a c a a c a a a c c c c c a a c a c a a a a c	a d a a c c a a a a a a c b a a c a a a c c c c c a a c a c a a a a c
a d a c c c c a c a c a c a a a a c c c c a a a a a a a c c a a c a	a d a c c c c a c a b a c a a a a c c c c a a a a a a a c c a a c a
a d c c a a a c c c c c c c c c a a a c c a c c c c c c a c a c a c	a d c c a a a c c c c c c c c c a a a c c a c c c c c c a c a c a d
c a a c c c c c a c c c c a a c c c a c c a c a c a c a c a a a c c	c a d a c c c c c a c c c c a a c c c a c c a c a c a c a c a a a c c
c a a c a c a c a c a c c c c a a a c c c c c a c a a c c c a c c a	c a a c a c a b a c a c c c c a a a c c c c c a c a a c c c a c c a
c a c a c a c a a a a a c a c c a c a a c a a c a a a a c c a c c c	c a c a c a c a a a a a c b c c a c a a c a a c a a a a c c a c c c
c a c c c c c a c c c c c a a a a a c a c c a a a c a c a a c a c c	c a c d c c c a c c c c c a a a a a c a c c a a a c a c a a c a c c
c c a c a c a a c a c c c c a a c c a c a a c a a a a a a c c c c a	c c a c a c a a c a c c c c a a c c a c a a c a a a b a a a c c c c a
c c c a c a a a c a c a a c a a a a a a c a a c c c c c a c c c c c	c c c a c a a a c a c a a c a a a a a a d a a c c c c c a c c c c c
c c c c c c c c a c a a c c a a a c c a a c c c a a c c c c c c a c	c c c c c c c c a c a a c c a a a c c b a c c c a a c c c c c c a c
d a a a c c c a a c c c a a a a a a c c a a a c a a a c c a a a c a	d a a a c c c a a c b c a a a a a a c c a a a c a a a c c a a a c a
d a c a a c c c c a a c a c a a a c c a c c c c a c a c c a c c c c	d a c a a c c c c a a c a c a a a d c c a c c c c a c a c c a c c c c
d a c c c c a a c a a a c c a a a c c a a a c c a a a a c a c c a a	d a c c c c a a c a a a c c a a a b c c a a a c c a a a a c a c c a a
d c a c a a a a a c c c a a c c a c a c a c a c c c c a c a a a a a	d c a c a a a a a c c c a a c c a c a d c a c a c c c c a c a a a a a
d c c a a c c c a c a c a c c c c c c c c a c c c c c a a c c c a c	d c c a a c c c a c a c a c c c c c c c c a c c c c c a a c d c c a c
a a a a c a c a c a a c a a c a c c c a a c a a c c a a a c c a c a a	b a a a a c a c a c a a c a a c a c c c a a c a a c c a a a c c a c a a
a a a a a c a a c c a a a c a a a a c c c c c a a c a c a c a a a a c	a a a a a c b a a c c a a a c a a a a c c c c c a a c a c a c a a a a c
a a a c a c a a c a c c a c a c c c c c a a a a c a a c c c c a a c a	a a a c a c a a c a c c a c b c c c c c a a a a c a a c c c c a a c a
a a a d c a a c c a c c a a c c c c c c a a a a a c c c c c a a c a a	a a a d c a a c c a c b c a a c c c c c c a a a a a c c c c c a a c a a
a a c a c c a a c c c a c c a c a c c c a c a c c a c a a c a a a c c	a a c a c c a a d c c c a c c a c a c c c a c a c c a c a a c a a a c c
a a d a a a a a c a a c c c c a a c a a c c c c a c a a c c c c a c a	a a d a a a a a d a a c c c c a a c a a c c c c a c a a c c c c a c a
a a d c c a a a a a c c c c a c a c c c a c c c c a c a c c c c c a a	a a d c c a a a a a c c c c a c a c c c a c c c c a c a b c c c c a a
a c a a c a a a a c c a c a c a c c a c c c a a a c c a a a a a c a c	a c a a c a a a a c c a c d c a c c a c c c a a a c c a a a a a c a c
a c a c c c a c a a c c c a a c c a a c c c c c c a c c c a a a c c a	a c b c c c a c a a c c c a a c c a a c c c c c c a c c c a a a c c a
a c c c a a c c c c a a c c a c a c a a c c c a c a a a c a a c a a a	a c c c a a c c c c a a c c a c a c a a c c c a c a a a c d a c a a a
a d a a a c c a c a a c c a c c a c c c a a a a c a c c a a c a a a c	a d a a a c c a c a a c c a c c a c c c a a a a c a c c a a c a b a c
a d a a a c a c a c c a c c c c c a a a a a a a a c c a a c a a c a c	a d d a a c a c a c c a c c c c c a a a a a a a a c c a a c a a c a c
a d c c a a c a c c c a a c a a a a c a c c c c c c c a a c c a a a a	a d c c a a c b a c c c a a c a a a a c a c c c c c c c a a c c a a a a
c a a a a a c c c a c c a c c c a c a c a a a a c c a c c c c c c c c	c a a a a a c c c a c c a c c c a c a b c a a a a c c a c c c c c c c c
c a a c c c a a c a a a a a a a c a c c a a c c a a c a c a a a c c c	c a a c c c a b a c a a a a a a a c a c c a a c c a a c a c a a a c c c
c a c c a a c a c a a a a c c c c c c c a c c c c a a a a a c c c c a	c a c c a a c a c a a a a d c c c c c c a c c c c a a a a a c c c c a
c c a a a c a a c c a a a c a a c a a a c c c c a a c c a c c c a c a	c c a a a c a a c c a a a c a a c a a a c c d c c a a c c a c c c a c a
c c a c c a a a c c c c c c c c a c a c a a a a a c a a c a a c a c a	c c a c c a a a c c c c c c c c a c a c a a a d a c a a c a a c a c a
c c c a c c a a c c c a a a a a a c c c a c a a c c a c a a c c c c a	c c c a c c a a c c c a a a a a a c c c a c a a c c a c a a c c b c a
d a a a a a a c c c c a c a a a a c c c a c c a a c c a a c a a c c c	d a d a a a a a c c c c a c a a a a c c c a c c a a c c a a c a a c c c
d a a c a a a a c c c a a a c a c c a a c a a a a c a a c a a c c c c	d a a c a a a a c c c a a a c a c c a a c a a a a c a a c a a b c c c
d a c a a c a a c c a a c c c c a a c c a a a c c a a c a a a a a a c	d a c a a c d a c c a a c c c c a a c c a a a c c a a c a a a a a a c
d a c c c c a a c a a c a c a a a a a a c a a a a c c a a c c c c c a	d a c c c c a a c a a c a c a a a a a a b c a a a a c c a a c c c c c a
d c a a c c c c a a c c c a c a c a c a a c a c c a c a c a c c a c c	d c a a c c c c a a c c c a c a c a c b a c a c c a c a c a c c a c c
d c c a c a a a c a a a c c a a c c a a a c a c a a c c a c c c c a a	d c c a c a a a c a a a c c a a c c a a a c d a c a a c c a c c c c a a
a a a a a c c c c c a a c c a a a a a c c a a a c c c c a c c a c a a a	b a a a a a c c c c c a a c c a a a a a c c a a a c c c c a c c a c a a a
a a a a a c a c c c c a a c a c c c a c a c a a c a c a c c c c a a c a	a a a a a c a c c c c a a d a c c c a c a c a a c a c a c c c c a a c a
a a a c a a a c a a c c a c a c a c c c a c c a c a c c a c c a a c a a	a a a c a a a c a a c c a c a c a c c c a c c a c a c d c a c c a a c a a
a a a d a c c a c c c c a c a c a a c c a c c c a a c c a a a c a a c a	a a a d a c c a c c c c a c a c a a c c a c c c a a c c a a a c a a c d a
a a c a c c a a c c c a a c a a a c a c c c a a c c c c c c a c a c c c	a a c a c c a a c c b a a c a a a c a c c c a a c c c c c c a c a c c c
a a d a a c a a c a a c c c a a a a c c c a a a c a c c a c a c a a a c	a a d a a c a a b c a a c c c a a a a c c c a a a c a c c a c a c a a a c
a a d c c a a c c a c a c a a a c a a a c a a c a a a c c c c a c a c a	a a d c c a a c c a d a c a a a c a a a c a a c a a a c c c c a c a c a
a c a a c c c c a a a a c a a a a a c a a c a a a c c c a c a a c a c c	a c a a c c c c a a a a c a a a a a c a b a c a a a c c c a c a a c a c c
a c c a a a c c c a a c a c a c c c c a a c a a a c a a a a a a c a c c	a c c a a a c c c a a c a c a c c c c a a c a a a c a a a a a a d c a c c
a c c c c a c c c a c a c a c c c a c c c c c a c c a c c c a c a a a a	a c c c c a c c c a c a c a c c c a c c c c c a c c a c c c a c a a a a d
a d a c a a a a a c a c a a a c c c c a a c a a a c a a a a a a c c c c	a d a c a a a a a c a c a a a c c c c a a c a a a c a a a a a a c c b c c
a d c a a c a c a a a a c a a c a a a a a a a c a c c a a a a a c a a c	a d c a a c a c a a a a c a a c a a a a a a a c a c c a a a a b a c a a c
a d c c c c c c a c c c c a a a c a c a a a a a c c a a c c a c c c c c	a d c c c d c c a c c c c a a a c a c a a a a a c c a a c c a c c c c c
c a a a c a a c c c a a a a c c a a c a a c c c c a a c a a c c c a a c	c a a a c a a c c c a a a a c c a a c a a c c c d a a c a a c c c a a c
c a a c c c c c c c a c c a a c c a c c c a a c c c a a c c c a a a c a	c a a c c c c c c c a c c a b c c a c c c a a c c c a a c c c a a a c a
c a c c a c a a a c a c c c c c c c a a a a a a c a c a a a c a a c a a	c a c c a c a d a a c a c c c c c c c a a a a a a c a c a a a c a a c a a
c c a a a c a c a c a a c c a c c a a c a a a a a a c a c a a c c c c c	c c a a a c a c a c a a c c a c c a a b c a a a a a a c a c a a c c c c c
c c a c c c a a a c a a c a c c a a a a c c a a a a c a c c a a c c a a	c c a c b c a a a c a a c a c c a a a a c c a a a a c a c c a a c c a a
c c c a c c c a a c c a a c c c a c a c a a c a a a c c a c a c c c c c	c c c a c c c a a c c a a c c c a c a c a a c a a a c c a c a b c c c c
d a a c a a c a a a c c c a a c c c c c a a c a a a c a c a c c c a c c	d a a b c a a c a a a c c c a a c c c c c a a c a a a c a c a c c c a c c
d a a c a c c c c c c a a a c a c c a c c c a a c c a a a c a a a a a a	d a a c a c c c c c c a a a c a c c a c c c a a c c a a a c a b a a a a a
d a c a c c c c a a c a a c c a a c a c c a a a a a a a a a a c a a a c	d a c a c c c c a a c a a c c d a a c a c c a a a a a a a a a a c a a a c
d c a a a a a c a a a a c c a c c a c a a a a c a c c a a c a a c c c c	d c a a a a a c a a a a c c a c c a c a a a a c a c c a a d a a c c c c
d c a c a c a a c c a a c a c a c c c c c a a c a a c c a a a a a c c a	d c a c a c a a c c a a c a c a d c c c c a a c a a c c a a a a a c c a
d c c a c a a a c c c c a c c a c c c a a a a a a a c a a a c c c c a c	d c c a c a a a c c c c a c c a c c c a a a a d a a a c a a a c c c c a c
a a a c c a c a a a a c a a a a c a c c c a c a a a a c c c c c a c a c a	b a a a c c a c a a a a c a a a a c a c c c a c a a a a c c c c c a c a c a
a a a a a a c a a c a c a c c c c a a a a c c c a a c c c a c a a c a a c	a a a a a a c a a c a c a c c c d a a a a c c c a a c c c a c a a c a a c
a a a a d c c c a c a a c a a a a a c c c a c c a a a a c a c c c a c c a	a a a a d c c c a c a a c a a a a a c c c a c c a a a a c b c c c a c c a
a a a d a a c a a c a c c c a c c c c a a c c c a a a c c a a c c a c a c	a a a d a a c a a c a c c c a c c c c a a c c c a a a d c c a a c c a c a c
a a c a a c c c c a c c a c c c c a a c c a a a a c a a c c a c c a c c c	a a c a a c c c c a c c a c c c c a a c d c a a a a c a a c c a c c a c c c
a a c c c a a a a a c c a a c c c c a c c a c a c a a a a a a a c a c a c	a a c c c b a a a a c c a a c c c c a c c a c a c a a a a a a a c a c a c
a a d c a c a a a a a c a a a a c c c a a a a a c a a a a a a c c a c c a	a a d c a b c a a a a a c a a a a c c c a a a a a c a a a a a a c c a c c a
a c a a a c c c c a c c a c a c c a c a a c c a c a a c c a c c c a a c c	a c a a a c d c c c a c c a c a c c a c a a c c a c a a c c a c c c a a c c
a c a c c c c a a c c c a a a c c a c a c a c c c c a c a a c c a a a a a	a c a c c c c a a c c c a a a c c a c a c a c c c c a c a a c c a a a b a a
a c c c a a a a a c a c a c c a a a c c a c c a a a c a a a c a a c a c a	a c c c a a a a a c a c a c c a a a c c a c c d a a c a a a c a a c a c a
a d a a a c c c c a c a c c a c a c a c c c c a a c a c a a a c c c a c c	a d a a a c c c c a c a c c a c a c a c c c c a a c a c a d a a c c c a c c
a d a c a c c c c c a c a a a c c c a a a c a c a c c a a a a a a c c a c	a d b c a c c c c c a c a a a c c c a a a c a c a c c a a a a a a c c a c
a d c c c a a a c a a c a c c a c a a a c c c c a a a c a a c a a a c c a	a d c c c a a a c a a c a c c b a c a a a c c c c a a a c a a c a a a c c a
c a a a a c a a c a c a c a a c c c a a c a a c a a c a a c a a c a a a c	c a a a a c a a c a c a c a a c c c a a c a a c a a c a a c a b a c a a a c
c a a c a c c c c c a a a c c c a c a c c a c c a c c a c c a a a c a c a	c a a c a c c c c c a a a c c c a c b c c a c c a c c a c c a a a c a c a
c a c a c c c a a c a a c c c a c c a a c a a a c a c a c a c a a c c a c	c a c a c c c a a c a a c c c a c c a a c a a a c a c a c b a c a a c c a c
c c a a a a a c c c c a c c c c c a a a a a a c a c a c c a c c a c a a a	c c a a a a a c c c b a c c c c c a a a a a a c a c a c c a c c a c a a a
c c a c a c c a c a a c c c c c c c a c c c a a c c c a a c a c a c a c a	c c a c a c c a c a a c c c c c c c a c c c b a c c c a a c a c a c a c a
c c c a c c a a c a c c a a c a a a c c c c c a c c c a c c a a a a c a c	c c c a c c a a c a c c a a c a a a c c c c c a c c c a c c b a a a a c a c
d a a a a a a a c a a c c c c a c c a a a c c c a a a a c c a c a a a c c	d a a a a a a a c a a c c c c a c c a a a c c c a a a a c c a c a d a a c c
d a a c a c a c a c c c a c a c a c c c c a c a a a a c c c a a c a a c a	d a a c a c a c a b c c c a c a c a c c c c a c a a a a c c c a a c a a c a
d a c a c c a c a a a c c c c c a c a c a c c a c c a a c c a c a c a c a	d a c a c c a c a a a c c b c c a c a c a c c a c c a a c c a c a c a c a
d c a a c c a a a a c c a a c c c a a c a c a a c c a c a c a c c c a c a	d c b a a c c a a a a c c a a c c c a a c a c a a c c a c a c a c c c a c a
d c a c a a c a a c a c c a a a c c c a c c c c c c a c c c a a a c c c a	d c a c a a c a a c a c c a a a c c c a c c c c c c b c c c a a a c c c a
d c c a c a a c c c a c a a c c c c c c c a c a a a a a c c a a c a c c a	d c c a c a a c c c a d c a a c c c c c c c a c a a a a a c c a a c a c c a
a a a a a d c a a a a c a c c c a c c a a c a c c c a a a a c c a a a a a a	b a a a a a d c a a a a c a c c c a c c a a c a c c c a a a a c c a a a a a a
a a a a a c a a a c c c c c c a a c c a c a a c a c c c c a c c a c c c a a	a a a a a c a a a c c c c c c a a c c a c a a c a c c c c a d c a c c c a a
a a a a d a c c a c c a c a a c a a a c a a a a a c a a a c a a c a a c a a	a a a a d a c c a c c a c a a c a a a c a a a a a c a a a c a a c a b a c a a
a a a d a a c a c a c a a a c c a a a a a a a c c a a c a c c c c c c c c c	a a a d a a c a c a c a a a c c a a a a a a a c c a a c a c c c c c c c c b c
a a c a c a a a c a c a c a c a a c c a a c a c c a a a a c a a a c c a c c	a a c a c a a a c a d a c a c a a c c a a c a c c a a a a c a a a c c a c c
a a c c c c c c a a a c a a c a a c c c c a a c c a c a c a c a c c c c c c	a a c c c c c c a a b a c a a c a a c c c c a a c c a c a c a c a c c c c c c
a a d c a a a c a a a c a c c a a a a c a c a a a a a c a c a a a a c c c a	a a d c a a a c a a a c a c c a a a a d c a c a a a a a c a c a a a a c c c a
a c a a a c a c a c a a c a a a a c c c a a c c c c c a c a a c a c c c c c	a c a a a c a c a c a a c a a a a c c c a a c c c c c a c b a c a c c c c c
a c a c c c a a a a a a c a a c a c a a c a a a c c a a c c c a c c c c a c	a c a c c c d a a a a a a c a a c a c a a c a a a c c a a c c c a c c c c a c
a c c c a a a c a a a c c a c c c a a c a a a a c a a c c c a c c c c c a a	a c c c a a a c a a a c c a c d c c a a c a a a a c a a c c c a c c c c c a a
a d a a c c a a a a c c a a a a c a a c a a a c a c c c a a c a c a a a a a	a d a a c c a a a a c c a a a a c a a c a a a c a c c d c a a c a c a a a a a
a d c a a a a c a a a a c c c c c c a c c a a c a c a a a a c c a a a c a c	a d c a a a a c a a a a c c c c c c a c c a a c a c a b a a a c c a a a c a c
a d c c a c c c a a a c c a a a c a a a a c c c c a c c c c a a a a a c c c	a d c c a c c c a a a c c a a a c a a a a c c c c a c c c c a a a a b c c c
c a a a a c c c a a a c a c a c c a a a c c a c a c c c c c a c c c a c c c	c a a a a c c c a a a c a c a c c a a a c c a c a c c c c c a c c c a c c d
c a a c c a c c c c c a a a a c c a c a c a a c c a a a c a c c a c c a c a	c a a c c a c c c c c a a a a c c a c a c a a c c a a a c a c c a d c a c a
c a c c a a a c a c a c a a c a a a c a c a a c a c a a c c c a c c a a a c	c a c c a a a b c a c a c a a c a a a c a c a a c a c a a c c c a c c a a a c
c c a a a a c c a c a c c c c a c a a a c c a c c a c c c c c c c a a a c c	c c a a a a c c a c a c c c c a c a a a c c a c c a c c c c c c c a a a b c c
c c a c c a c a c c c a a a a c a a c c a c c a a a a a a a a c c a c a c c	c c a c c a c a c c c a a a a c a a c c a c c a a a a a a a a b c a c a c c
c c c a c c a c a a c c a a c a a c a c a a a a c a a a c a c c c a c a c c	c c c a c c a c a a c c a a c a a c a c a a a a c a a a c a c c c a c a c c d
d c c c c a a a c c a a c c a c c c c c a a a a c a a a a a c c c a c c c a	d b c c c c a a a c c a a c c a c c c c c a a a a c a a a a a c c c a c c c a
d a a c a a c a c c a c c c c a c c c c c a a c c a c a a c a c a c a c c c	d a a c a a c a c c a c c c c a c c c c c a a c c a c a b a c a c a c a c c c
d a c a c a a c a c c c c c c c c a c a c c a c a c c c a a a a c a c a c a	d a c a c a a c a c c c c c c c c a c a c c a c a c c c a a a a c a c d a c a
d c a a a a a a a c a a a c a a a c c a a c c c c c a c a c c c a a c c c c	d c a a a a a a a c a a a c a b a a c c a a c c c c c a c a c c c a a c c c c
d c a c a c a c c c a c c c a a a a a a c a a a c c c c c c a a c a c c a c	d c a c a c a c c c a c c c b a a a a a c a a a c c c c c c a a c a c c a c
d c c a c c a a c c c a c a a c a a c a a c a a c c c a c a a a a a c c c c	d c c a c b a a c c c a c a a c a a c a a c a a c c c a c a a a a a c c c c
a a a c a c c a a a a a c c a a c a c c a c a c c a c c a a a c a a c a c a a	b a a a c a c c a a a a a c c a a c a c c a c a c c a c c a a a c a a c a c a a
a a a a a c c c a a c c c c c a a a a a c c a c a c c a c a a a c c c c a a c	a a a a a c c c a a c c c c c a a a a a c c a c a c c a c a a a c c c c b a a c
a a a c a a a c a c a a a a a a a a c c a a a a c c c c a c c a c a a a a c c	a a a c a a a c a c a a a a a a a a c c a a a a c c c c a d c c a c a a a a c c
a a a d c a a c a c a c a c a a c a a c c a c a c c a c a a a c a c a c a c c	a a a d c a a c a c a c a c a a c a a c c a c a c c b c a a a c a c a c a c c
a a c c a a a a a a a a a a c c c c a a c a c a a a c c a a a a a c c a c a a	a a c c a a a a a d a a a a c c c c a a c a c a a a c c a a a a a c c a c a a
a a d a a c a c a a c c a c a a c c c a c c c c c a c c c a c a a a a a a a c	a a d a a c a c a a c c a c a a c c c a c b c c c a c c c a c a a a a a a a c
a a d c c c a a a c a a c c c a c c c a c a c a c a a a c a c c c c a a a a c	a a d c c c a a a c a a c c c a c c c a c a c a c a a a b a c c c c a a a a c
a c a c c a c c a c a a c a a a c a a a c c c a c a a a a c c c c c c a c c a	a c a b c a c c a c a a c a a a c a a a c c c a c a a a a c c c c c c a c c a
a c c a a a c c c c c a a a c a c c a c a c a a c c c c a c a c a a c c a c a	a c c a a a c c c c c a a a c a c c b c a c a a c c c c a c a c a a c c a c a
a c c c c a a a a a c c a c c c c c c c a a a a c c a a a a a a c c a c c a c	a c c c c a b a a a c c a c c c c c c c a a a a c c a a a a a a c c a c c a c
a d a a c a c c a c a c a c a a c c c c c a c a a a a a a c a c c a a c a c a	a d a a c a c c a c a c d a c a a c c c c c a c a a a a a a c a c c a a c a c a
a d a c a c a c c c a c a a a c c c c c c a a c a a a a a c a c c c a c a c c	a d b c a c a c c c a c a a a c c c c c c a a c a a a a a c a c c c a c a c c
a d c c a c a c c a c c c a c c c a c a a a a a c a a a c c c c a c c a c a a	a d c c a c a c c a c c c b a c c c a c a a a a a c a a a c c c c a c c a c a a
c a a a a a c c c a c a a c a a a a a c a c a a c a c c c c a a a a a a c c a	c a a a a a c c c a c a a c a a a a a c a b c a a c a c c c c a a a a a a c c a
c a a c c a c a c a c c a a a a c c a a c c a c c c a c c c c a c c c a a a c	c a a c c a c a c a c c a a a a c c a a c b a c c c a c c c c a c c c a a a c
c a c c a a a a a a c c c c c c a c a c a a c a a c c a c a a c c a c c c a a	c a c c a a a b a a c c c c c c a c a c a a c a a c c a c a a c c a c c c a a
c c a a a a c c a a a a a a a c a c a a c a a a a a c c c a a a c c c a c a a	c c a a a a c c a a a a a a a c a c a a c a a a a b c c c a a a c c c a c a a
c c a c a c c a c c c c c a a c c c a c c c a c a c a a a c c c c a a a c a a	c c a c a c c a c c c c c a a c c c a b c c c a c a c a a a c c c c a a a c a a
c c c a c c c a c c a c c a c a c a a a a a a c a a c a c a a c c c c a a a a	c c c a c c c a d c a c c a c a c a a a a a a c a a c a c a a c c c c a a a a
d a a a a c a a c c a a c a a a a a c c a c c a a a c c c c c c c a c c c c a	d d a a a a c a a c c a a c a a a a a c c a c c a a a c c c c c c c a c c c c a
d a a c a c a a c a c c c a a a c a c a a c a c c c c a a a a a a c c a c a c	d a a c a c a a c a c c c a a a c b c a a c a c c c c a a a a a a c c a c a c
d a c a c a a c a a a a c a c a a a c c a a c a a c a c c c c a c c a c a c c	d a c a c a a c a a a a c a c a a a c c a a c a a c a c c c c a c c a c a c d c
